Name,Amount,Bar Code,Category,Checkbox,Created,Date Added,Expiration Date,Need,Notes,Price,Store,URL
Canned Tomato Soup,,,Canned & Jarred,No,"February 20, 2026 11:15 PM",,,No,,,,https://www.target.com/p/rao--39-s-homemade-marinara-sauce-premium-quality-all-natural-tomato-sauce---38--pasta-sauce-keto-friendly---38--carb-conscious---24oz--no-aasa/-/A-13349580
Kefir,,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
"Ground Beef, 90% Lean",,,Meats,No,"February 20, 2026 11:15 PM",,,No,,,,
"Beans, Dark Red Kidney",,,Canned & Jarred,No,"February 20, 2026 11:15 PM",,,No,,,,
Frozen Pineapple,,,Frozen Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
Salmon,,,Seafood,No,"February 20, 2026 11:15 PM",,,No,,,,
"Better Than Bouillon, Vegetable",,,Canned & Jarred,No,"February 20, 2026 11:15 PM",,,No,,,,
"Dry Pasta, Lasagna Noodles",,,Grains Pasta & Dry Goods,No,"February 20, 2026 11:15 PM",,,No,,,,
Italian Herbs,,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
Scamorza,,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
Carrots,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
"Chicken Breasts, Boneless Skinless",,,Meats,No,"February 20, 2026 11:15 PM",,,No,,,,
"Milk, Almond",,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
Dry Dog Food,,,Pet Food,No,"February 20, 2026 11:15 PM",,,No,,,,
Tequila,,,Alcohol,No,"February 20, 2026 11:15 PM",,,No,,,,
Bananas,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
"Blueberries ",,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Kim Chi,,,International & Ethnic Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
"Oil, Sesame",,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
Orange,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Fennel,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Pomegranate Seeds,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Chili Crisp,,,International & Ethnic Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
"Coffee, Cold Brew",,,Beverages,No,"February 20, 2026 11:15 PM",,,No,,,,
Whipped Cream,,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
Roasted Red Peppers,,,Canned & Jarred,No,"February 20, 2026 11:15 PM",,,No,,,,
Chickpeas,,,Canned & Jarred,No,"February 20, 2026 11:15 PM",,,No,,,,
Lamb Chops,,,Meats,No,"February 20, 2026 11:15 PM",,,No,,,,
Peanut Butter,,,Canned & Jarred,No,"February 20, 2026 11:15 PM",,,No,,,,
Cauliflower Rice,,,Frozen Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
Plant-Based Burger Patties,,,Frozen Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
Gochujang,,,International & Ethnic Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
Cilantro,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
"Protein Bars, RXBar",,,Protein Bars & Supplements,No,"February 20, 2026 11:15 PM",,,No,,,,
Farro,,,Grains Pasta & Dry Goods,No,"February 20, 2026 11:15 PM",,,No,,,Trader Joes,
Vodka,,,Alcohol,No,"February 20, 2026 11:15 PM",,,No,,,,
Laundry Detergent,,,Household & Misc Items,No,"February 20, 2026 11:15 PM",,,No,,,,
Harissa Paste,,,International & Ethnic Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
Disinfecting Wipes,,,Household & Misc Items,No,"February 20, 2026 11:15 PM",,,No,,,,
Panko,,,Grains Pasta & Dry Goods,No,"February 20, 2026 11:15 PM",,,No,,,,
"Tomatoes, Cherry",,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
"Chicken Thighs, Boneless Skinless",,,Meats,No,"February 20, 2026 11:15 PM",,,No,,,,
Zucchini,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Duck Breast,,,Meats,No,"February 20, 2026 11:15 PM",,,No,,,,
Roasted Salted Peanuts,,,Snacks,No,"February 20, 2026 11:15 PM",,,No,,,,
Parmesano Reggiano,,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
Vegetable Spring Rolls,,,Prepared Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
Curry Powder,,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
"Flour, 00 Pizza",,,Baking Supplies,No,"February 20, 2026 11:15 PM",,,No,,,,
Dark Chocolate Almonds,,,Snacks,No,"February 20, 2026 11:15 PM",,,No,,,,
"Sugar, Cane",,,Baking Supplies,No,"February 20, 2026 11:15 PM",,,No,,,,
"Coconut Milk, Canned",,,Canned & Jarred,No,"February 20, 2026 11:15 PM",,,No,,,,
Barley,,,Grains Pasta & Dry Goods,No,"February 20, 2026 11:15 PM",,,No,,,,
Polenta,,,Grains Pasta & Dry Goods,No,"February 20, 2026 11:15 PM",,,No,,,,
Bagels,"2 ",,Bakery,No,"February 20, 2026 11:15 PM","February 21, 2026",,Yes,,,Amazon,
Raisins,,,Snacks,No,"February 20, 2026 11:15 PM",,,No,,,,
"Butter ",,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
Frozen Peas,,,Frozen Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
Baking Powder,,,Baking Supplies,No,"February 20, 2026 11:15 PM",,,No,,,,
Manchego,,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
"Frozen Strawberries ",,,Frozen Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
Tabbouli Salad,,,Prepared Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
Swiss Chard,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Mayonnaise,,,Canned & Jarred,No,"February 20, 2026 11:15 PM",,,No,,,,
"Onion, Red",,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Frozen Broccoli,,,Frozen Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
Dijon Mustard,,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
"Olives, Kalamata",,,Prepared Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
Milk,,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,Yes,,,Costco,
Persian Cucumbers,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Roquefort,,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
"Oil, Canola",,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
"Tea, Black",,,Beverages,No,"February 20, 2026 11:15 PM",,,No,,,,
Spaghetti,,,Grains Pasta & Dry Goods,No,"February 20, 2026 11:15 PM",,,No,,,,
"Tomatoes, Campari",,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
"Cottage Cheese, Low Fat",,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
"Tomatoes, Whole",,,Canned & Jarred,No,"February 20, 2026 11:15 PM",,,No,,,,
Canned Cat Food,,,Pet Food,No,"February 20, 2026 11:15 PM",,,No,,,,
Protein Powder,,,Protein Bars & Supplements,No,"February 20, 2026 11:15 PM",,,No,,,,
Artichoke Hearts,,,Canned & Jarred,No,"February 20, 2026 11:15 PM",,,No,,,,
Chia Seeds,,,Protein Bars & Supplements,No,"February 20, 2026 11:15 PM",,,No,,,,
Onion Powder,,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
Pink Salt,,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
"Vinegar, Rice Wine",,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
"Hummus, Roasted Red Pepper",,,Prepared Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
"Pita, Whole Wheat",,,Bakery,No,"February 20, 2026 11:15 PM",,,No,,,,
"Olive Oil, Garlic",,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
"Flour, Almond",,,Baking Supplies,No,"February 20, 2026 11:15 PM",,,No,,,,
Chili Powder,,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
Eggs,,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
Peaches,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
"Olives, Mediterranean Bar",,,Prepared Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
"Flour, Whole Wheat",,,Baking Supplies,No,"February 20, 2026 11:15 PM",,,No,,,,
Cauliflower,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Parchment Paper Sheets,,,Baking Supplies,No,"February 20, 2026 11:15 PM",,,No,,,,
Salsa Verde,,,Canned & Jarred,No,"February 20, 2026 11:15 PM",,,No,,,,
Basil Leaves,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
"Rice, Long Grain White",,,Grains Pasta & Dry Goods,No,"February 20, 2026 11:15 PM",,,No,,,,
Celery,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Chives,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Sriracha,,,International & Ethnic Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
"Beans, Refried Pinto",,,Canned & Jarred,No,"February 20, 2026 11:15 PM",,,No,,,,
Kombucha,,,Beverages,No,"February 20, 2026 11:15 PM",,,No,,,,
Coconut Aminos,,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
"Rum, Silver",,,Alcohol,No,"February 20, 2026 11:15 PM",,,No,,,,
Shallots,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Nutritional Yeast,,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
Pecorino Romano,,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
Bean Sprouts,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
"Beans, Black",,,Canned & Jarred,No,"February 20, 2026 11:15 PM",,,No,,,,
Bacon,,,Meats,No,"February 20, 2026 11:15 PM",,,No,,,,
Beef Brisket,,,Meats,No,"February 20, 2026 11:15 PM",,,No,,,,
Mirin,,,International & Ethnic Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
Bison Ground Meat,,,Meats,No,"February 20, 2026 11:15 PM",,,No,,,,
Dog Treats,,,Pet Food,No,"February 20, 2026 11:15 PM",,,No,,,,https://www.amazon.com/Downtown-Pet-Supply-Dispensers-Rainbow/dp/B07Z3Y7P1K/?th=1
Mozarella,,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
Chipotle,,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
Campari,,,Alcohol,No,"February 20, 2026 11:15 PM",,,No,,,,
Zucchini Noodles,,,Frozen Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
"Tortillas, Corn",,,Bakery,No,"February 20, 2026 11:15 PM",,,No,,,,
Active Dry Yeast,,,Baking Supplies,No,"February 20, 2026 11:15 PM",,,No,,,,
Ricotta,,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
"Onions, Green",,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Tomato Paste,,,Canned & Jarred,No,"February 20, 2026 11:15 PM",,,No,,,,
Reusable Silicone Food Storage Bags,,,Household & Misc Items,No,"February 20, 2026 11:15 PM",,,No,,,,
"Potatoes, Baby Red",,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
"Olive Oil, Regular",,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
Maple Syrup,,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
Tahini,,,International & Ethnic Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
"Vinegar, Aged Balsamic",,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
Parsley,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Ground Chicken,,,Meats,No,"February 20, 2026 11:15 PM",,,No,,,,
White Miso Paste,,,International & Ethnic Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
"Ginger, Fresh",,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Chocolate Chips,,,Baking Supplies,No,"February 20, 2026 11:15 PM",,,No,,,,
Corriander,,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
Burrata,,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
Limes,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Comté,,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
Tzatziki,,,Prepared Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
Sriracha,,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
"Frozen Blueberries ",,,Frozen Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
Coconut Sugar,,,Baking Supplies,No,"February 20, 2026 11:15 PM",,,No,,,,
Cucumber,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
"Noodles, Soba",,,International & Ethnic Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
Mezcal,,,Alcohol,No,"February 20, 2026 11:15 PM",,,No,,,,
"Milk, Coconut",,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
Lemon,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Honey,,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
Radishes,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
"Vinegar, White",,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
Rye,,,Alcohol,No,"February 20, 2026 11:15 PM",,,No,,,,
Cinnamon,,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
Cocoa Powder,,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
Red Pepper,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
"Bread, Whole Wheat ",,,Bakery,No,"February 20, 2026 11:15 PM",,,No,,,,
"Vinegar, Red Wine",,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
Green Beans,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Oyster Sauce,,,International & Ethnic Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
Tomato Sauce,,,Canned & Jarred,No,"February 20, 2026 11:15 PM",,,No,,,,
Almond Butter,,,Canned & Jarred,No,"February 20, 2026 11:15 PM",,,No,,,,
Espresso,,,Beverages,No,"February 20, 2026 11:15 PM",,,No,,,,
Tamari,,,International & Ethnic Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
Raspberries,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Frozen Edamame,1,,Frozen Foods,No,"February 20, 2026 11:15 PM",,,Yes,,,Costco,
Bok Choy,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Tuna in Oil,,,Canned & Jarred,No,"February 20, 2026 11:15 PM",,,No,,,,
Quinoa,,,Grains Pasta & Dry Goods,No,"February 20, 2026 11:15 PM",,,No,,,,
Goat Cheese,,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
Falafel,,,Prepared Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
"Chicken Sausage, Italian",,,Meats,No,"February 20, 2026 11:15 PM",,,No,,,,
"Chicken Sausage, Spinach & Feta",,,Meats,No,"February 20, 2026 11:15 PM",,,No,,,,
Jalapeño,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Mixed Nuts,,,Snacks,No,"February 20, 2026 11:15 PM",,,No,,,,
Hearts of Palm,,,Canned & Jarred,No,"February 20, 2026 11:15 PM",,,No,,,,
Mint,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Aged Gouda,,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
"Rum, Dark",,,Alcohol,No,"February 20, 2026 11:15 PM",,,No,,,,
Garlic Power,,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
Dried Minced Garlic,,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
Cointreau,,,Alcohol,No,"February 20, 2026 11:15 PM",,,No,,,,
Baby Spinach,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
"Lettuce, Little Gem",,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Oregano,,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
Organic Toasted Sesame Dressing,,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
Champagne,,,Alcohol,No,"February 20, 2026 11:15 PM",,,No,,,,
Sour Cream,,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
Lettuce,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Strawberries,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Butternut Squash,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
"Flour, Vital Wheat Gluten",,,Baking Supplies,No,"February 20, 2026 11:15 PM",,,No,,,,
"Tomatoes, Diced",1 pack,,Canned & Jarred,No,"February 20, 2026 11:15 PM",,,Yes,,,Costco,
Gin,,,Alcohol,No,"February 20, 2026 11:15 PM",,,No,,,,
Granola,,,Grains Pasta & Dry Goods,No,"February 20, 2026 11:15 PM",,,No,,,,
"Turkey Sausage, Sweet Italian",,,Meats,No,"February 20, 2026 11:15 PM",,,No,,,,
"Noodles, Ramen",,,International & Ethnic Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
Frozen Asian Style Vegetables with Stir Fry,,,Frozen Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
Cumin,,,Condiments,No,"February 20, 2026 11:15 PM",,,No,,,,
Bourbon,,,Alcohol,No,"February 20, 2026 11:15 PM",,,No,,,,
Thyme,,,Produce,No,"February 20, 2026 11:15 PM",,,No,,,,
Asparagus,1,,Produce,No,"February 20, 2026 11:15 PM",,,Yes,,,Safeway,
Fish Sauce,1,,International & Ethnic Foods,No,"February 20, 2026 11:15 PM",,,Yes,,,Walmart,
Za’atar,,,International & Ethnic Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
Gochugaru,,,International & Ethnic Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
Sambal Olek,,,International & Ethnic Foods,No,"February 20, 2026 11:15 PM",,,No,,,,
Popcorn,,,Snacks,No,"February 20, 2026 11:15 PM",,,No,,,,
Collagen Peptides,,,Protein Bars & Supplements,No,"February 20, 2026 11:15 PM",,,No,,,,
Cream Cheese,,,Dairy & Eggs,No,"February 20, 2026 11:15 PM",,,No,,,,
,,,Baking Supplies,No,"May 14, 2026 10:28 AM",,,No,,,,
