Name,Assigned,Assigned To,Auto Status Suggestion,Completion %,Current Date,Date,Frequency,If Done,If Progress,If/Date,Inbox,Line,Notifications,Room,Show [Date],Show [Schedule],Space 2,Status,Tasks Completed,Total Tasks,Type,Which Date,notes
Disinfect trash can,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Organize pantry and cabinets,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down baseboards,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Clean refrigerator coils,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Degrease range hood,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Clean light fixtures,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down cabinet fronts,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Deep clean oven,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Open curtains/blinds,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Vacuum under bed,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Change bed linens,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Dust all surfaces,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Clear nightstands,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Make bed,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Vacuum floor,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Organize closet,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Put away clothes,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Clean mirrors,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Clean light fixtures and ceiling fan,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down baseboards,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Flip or rotate mattress,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Clean windows,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Wash pillows and duvet,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Hang up towels,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Clean mirrors,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Disinfect all surfaces,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Scrub shower and tub,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Clean toilet bowl,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Squeegee shower after use,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Scrub toilet thoroughly,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down sink and counter,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Mop floor,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Wash bath mats and towels,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Wash shower curtain or liner,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Clean baseboards,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Organize cabinets and drawers,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Clean exhaust fan,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down walls and tiles,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Clean grout,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Dust all surfaces including shelves and decor,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Pick up clutter and put items away,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down baseboards,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Vacuum entire room including under furniture,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Vacuum high-traffic areas,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Clean windows and mirrors,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Fluff cushions and fold throws,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down coffee table and side tables,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Dust TV screen and electronics,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Vacuum upholstery and cushions,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Deep clean carpets or mop floors,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down walls and doors,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Clean light fixtures and ceiling fans,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,,🗓️ Schedule:,,,Not started,,,Chores,,
Organize items by category,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🥫 Pantry (https://www.notion.so/Pantry-2ef97e9c2a3181979138c282576cd910?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Check for expired items,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🥫 Pantry (https://www.notion.so/Pantry-2ef97e9c2a3181979138c282576cd910?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Deep clean all shelves,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🥫 Pantry (https://www.notion.so/Pantry-2ef97e9c2a3181979138c282576cd910?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down shelves,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🥫 Pantry (https://www.notion.so/Pantry-2ef97e9c2a3181979138c282576cd910?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Put away groceries and items,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,🥫 Pantry (https://www.notion.so/Pantry-2ef97e9c2a3181979138c282576cd910?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Sweep floor,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🥫 Pantry (https://www.notion.so/Pantry-2ef97e9c2a3181979138c282576cd910?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down walls and door,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🥫 Pantry (https://www.notion.so/Pantry-2ef97e9c2a3181979138c282576cd910?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Reorganize entire pantry,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🥫 Pantry (https://www.notion.so/Pantry-2ef97e9c2a3181979138c282576cd910?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Clean containers and jars,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🥫 Pantry (https://www.notion.so/Pantry-2ef97e9c2a3181979138c282576cd910?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Wipe up spills immediately,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,🥫 Pantry (https://www.notion.so/Pantry-2ef97e9c2a3181979138c282576cd910?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Sweep floor,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,🍽️ Dining Room (https://www.notion.so/Dining-Room-2ef97e9c2a318192bdd0f0418b269200?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Vacuum or mop floor,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🍽️ Dining Room (https://www.notion.so/Dining-Room-2ef97e9c2a318192bdd0f0418b269200?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down chair legs and bases,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🍽️ Dining Room (https://www.notion.so/Dining-Room-2ef97e9c2a318192bdd0f0418b269200?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Clean light fixture,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🍽️ Dining Room (https://www.notion.so/Dining-Room-2ef97e9c2a318192bdd0f0418b269200?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down walls and baseboards,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🍽️ Dining Room (https://www.notion.so/Dining-Room-2ef97e9c2a318192bdd0f0418b269200?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Clean windows,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🍽️ Dining Room (https://www.notion.so/Dining-Room-2ef97e9c2a318192bdd0f0418b269200?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Polish wood furniture,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🍽️ Dining Room (https://www.notion.so/Dining-Room-2ef97e9c2a318192bdd0f0418b269200?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
"Dust table, chairs, and surfaces",,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🍽️ Dining Room (https://www.notion.so/Dining-Room-2ef97e9c2a318192bdd0f0418b269200?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Push in chairs,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,🍽️ Dining Room (https://www.notion.so/Dining-Room-2ef97e9c2a318192bdd0f0418b269200?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down table after meals,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,🍽️ Dining Room (https://www.notion.so/Dining-Room-2ef97e9c2a318192bdd0f0418b269200?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Clean door and frame,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🚪 Entry (https://www.notion.so/Entry-2ef97e9c2a3181f78171fb35aa12d167?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down door handles,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,🚪 Entry (https://www.notion.so/Entry-2ef97e9c2a3181f78171fb35aa12d167?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Deep clean chandelier or light fixture,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🍽️ Dining Room (https://www.notion.so/Dining-Room-2ef97e9c2a318192bdd0f0418b269200?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down light switches,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🚪 Entry (https://www.notion.so/Entry-2ef97e9c2a3181f78171fb35aa12d167?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Organize shoes,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,🚪 Entry (https://www.notion.so/Entry-2ef97e9c2a3181f78171fb35aa12d167?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Clean mirror,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🚪 Entry (https://www.notion.so/Entry-2ef97e9c2a3181f78171fb35aa12d167?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Hang up coats and bags,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,🚪 Entry (https://www.notion.so/Entry-2ef97e9c2a3181f78171fb35aa12d167?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Sweep or vacuum floor,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,🚪 Entry (https://www.notion.so/Entry-2ef97e9c2a3181f78171fb35aa12d167?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Dust surfaces and decor,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🚪 Entry (https://www.notion.so/Entry-2ef97e9c2a3181f78171fb35aa12d167?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Mop floor,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🚪 Entry (https://www.notion.so/Entry-2ef97e9c2a3181f78171fb35aa12d167?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Clean baseboards,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🚶 Halls (https://www.notion.so/Halls-2ef97e9c2a31812b92fed8399ea05356?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Pick up clutter,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,🚶 Halls (https://www.notion.so/Halls-2ef97e9c2a31812b92fed8399ea05356?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Dust picture frames and decor,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🚶 Halls (https://www.notion.so/Halls-2ef97e9c2a31812b92fed8399ea05356?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down walls,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🚶 Halls (https://www.notion.so/Halls-2ef97e9c2a31812b92fed8399ea05356?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Organize closet,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🚪 Entry (https://www.notion.so/Entry-2ef97e9c2a3181f78171fb35aa12d167?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down light switches,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🚶 Halls (https://www.notion.so/Halls-2ef97e9c2a31812b92fed8399ea05356?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Clean light fixtures,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🚶 Halls (https://www.notion.so/Halls-2ef97e9c2a31812b92fed8399ea05356?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Vacuum or sweep high-traffic areas,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,🚶 Halls (https://www.notion.so/Halls-2ef97e9c2a31812b92fed8399ea05356?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Vacuum or mop entire hallway,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🚶 Halls (https://www.notion.so/Halls-2ef97e9c2a31812b92fed8399ea05356?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down baseboards,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🚪 Entry (https://www.notion.so/Entry-2ef97e9c2a3181f78171fb35aa12d167?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Organize recycling area,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🗑️ Trash & Recycling (https://www.notion.so/Trash-Recycling-2ef97e9c2a3181249089f3915f94b75c?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Take out recycling,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🗑️ Trash & Recycling (https://www.notion.so/Trash-Recycling-2ef97e9c2a3181249089f3915f94b75c?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Disinfect outdoor bins,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🗑️ Trash & Recycling (https://www.notion.so/Trash-Recycling-2ef97e9c2a3181249089f3915f94b75c?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Deep clean all trash cans,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🗑️ Trash & Recycling (https://www.notion.so/Trash-Recycling-2ef97e9c2a3181249089f3915f94b75c?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Take out bathroom trash,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,🗑️ Trash & Recycling (https://www.notion.so/Trash-Recycling-2ef97e9c2a3181249089f3915f94b75c?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Clean trash cans,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🗑️ Trash & Recycling (https://www.notion.so/Trash-Recycling-2ef97e9c2a3181249089f3915f94b75c?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Replace bin liners,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🗑️ Trash & Recycling (https://www.notion.so/Trash-Recycling-2ef97e9c2a3181249089f3915f94b75c?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Take bins to curb for pickup,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🗑️ Trash & Recycling (https://www.notion.so/Trash-Recycling-2ef97e9c2a3181249089f3915f94b75c?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Dust ceiling corners for cobwebs,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🚶 Halls (https://www.notion.so/Halls-2ef97e9c2a31812b92fed8399ea05356?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Take out kitchen trash,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,🗑️ Trash & Recycling (https://www.notion.so/Trash-Recycling-2ef97e9c2a3181249089f3915f94b75c?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Clean grout,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Clean toilet bowl,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down all surfaces,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down sink and counter,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Disinfect door handles and light switches,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Hang fresh hand towel,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Empty trash,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Clean mirror,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Scrub toilet thoroughly,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Mop floor,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down walls,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down surfaces,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Organize under sink,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Pick up toys and clutter,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Dust all surfaces,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
