Name,Assigned To,Auto Status Suggestion,Completion %,Date,Frequency,If Done,If Progress,Inbox,Notifications,Room,Show [Date],notes,Status
Wipe down baseboards,,,0%,,Monthly,0,1,Yes,,,🗓️ Schedule:,,Not started
Clean refrigerator coils,,,0%,,Monthly,0,1,Yes,,,🗓️ Schedule:,,Not started
Degrease range hood,,,0%,,Monthly,0,1,Yes,,,🗓️ Schedule:,,Not started
Clean light fixtures,,,0%,,Monthly,0,1,Yes,,,🗓️ Schedule:,,Not started
Wipe down cabinet fronts,,,0%,,Weekly,0,1,Yes,,,🗓️ Schedule:,,Not started
Deep clean oven,,,0%,,Monthly,0,1,Yes,,,🗓️ Schedule:,,Not started
Open curtains/blinds,,,0%,,Daily,0,1,Yes,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,Not started
Vacuum under bed,,,0%,,Monthly,0,1,Yes,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,Not started
Change bed linens,,,0%,,Weekly,0,1,Yes,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,Not started
Dust all surfaces,,,0%,,Weekly,0,1,Yes,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,Not started
Clear nightstands,,,0%,,Daily,0,1,Yes,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,Not started
Make bed,,,0%,,Daily,0,1,Yes,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,Not started
Vacuum floor,,,0%,,Weekly,0,1,Yes,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,Not started
Organize closet,,,0%,,Weekly,0,1,Yes,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,Not started
Put away clothes,,,0%,,Daily,0,1,Yes,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,Not started
Clean mirrors,,,0%,,Weekly,0,1,Yes,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,Not started
Clean light fixtures and ceiling fan,,,0%,,Monthly,0,1,Yes,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,Not started
Wipe down baseboards,,,0%,,Monthly,0,1,Yes,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,Not started
Flip or rotate mattress,,,0%,,Monthly,0,1,Yes,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,Not started
Clean windows,,,0%,,Monthly,0,1,Yes,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,Not started
Wash pillows and duvet,,,0%,,Monthly,0,1,Yes,,🛏️ Bedroom (https://www.notion.so/Bedroom-2ef97e9c2a318104bfe5c06efed42020?pvs=21),🗓️ Schedule:,,Not started
Hang up towels,,,0%,,Daily,0,1,Yes,,,🗓️ Schedule:,,Not started
Clean mirrors,,,0%,,Weekly,0,1,Yes,,,🗓️ Schedule:,,Not started
Disinfect all surfaces,,,0%,,Weekly,0,1,Yes,,,🗓️ Schedule:,,Not started
Scrub shower and tub,,,0%,,Weekly,0,1,Yes,,,🗓️ Schedule:,,Not started
Clean toilet bowl,,,0%,,Daily,0,1,Yes,,,🗓️ Schedule:,,Not started
Squeegee shower after use,,,0%,,Daily,0,1,Yes,,,🗓️ Schedule:,,Not started
Scrub toilet thoroughly,,,0%,,Weekly,0,1,Yes,,,🗓️ Schedule:,,Not started
Wipe down sink and counter,,,0%,,Daily,0,1,Yes,,,🗓️ Schedule:,,Not started
Mop floor,,,0%,,Weekly,0,1,Yes,,,🗓️ Schedule:,,Not started
Wash bath mats and towels,,,0%,,Weekly,0,1,Yes,,,🗓️ Schedule:,,Not started
Wash shower curtain or liner,,,0%,,Monthly,0,1,Yes,,,🗓️ Schedule:,,Not started
Clean baseboards,,,0%,,Monthly,0,1,Yes,,,🗓️ Schedule:,,Not started
Organize cabinets and drawers,,,0%,,Monthly,0,1,Yes,,,🗓️ Schedule:,,Not started
Clean exhaust fan,,,0%,,Monthly,0,1,Yes,,,🗓️ Schedule:,,Not started
Wipe down walls and tiles,,,0%,,Monthly,0,1,Yes,,,🗓️ Schedule:,,Not started
Clean grout,,,0%,,Monthly,0,1,Yes,,,🗓️ Schedule:,,Not started
Dust all surfaces including shelves and decor,,,0%,,Weekly,0,1,Yes,,,🗓️ Schedule:,,Not started
Pick up clutter and put items away,,,0%,,Daily,0,1,Yes,,,🗓️ Schedule:,,Not started
Wipe down baseboards,,,0%,,Weekly,0,1,Yes,,,🗓️ Schedule:,,Not started
Vacuum entire room including under furniture,,,0%,,Weekly,0,1,Yes,,,🗓️ Schedule:,,Not started
Vacuum high-traffic areas,,,0%,,Daily,0,1,Yes,,,🗓️ Schedule:,,Not started
Clean windows and mirrors,,,0%,,Weekly,0,1,Yes,,,🗓️ Schedule:,,Not started
Fluff cushions and fold throws,,,0%,,Daily,0,1,Yes,,,🗓️ Schedule:,,Not started
Wipe down coffee table and side tables,,,0%,,Daily,0,1,Yes,,,🗓️ Schedule:,,Not started
Dust TV screen and electronics,,,0%,,Weekly,0,1,Yes,,,🗓️ Schedule:,,Not started
Vacuum upholstery and cushions,,,0%,,Monthly,0,1,Yes,,,🗓️ Schedule:,,Not started
Deep clean carpets or mop floors,,,0%,,Monthly,0,1,Yes,,,🗓️ Schedule:,,Not started
Wipe down walls and doors,,,0%,,Monthly,0,1,Yes,,,🗓️ Schedule:,,Not started
Clean light fixtures and ceiling fans,,,0%,,Monthly,0,1,Yes,,,🗓️ Schedule:,,Not started
Organize items by category,,,0%,,Weekly,0,1,Yes,,🥫 Pantry (https://www.notion.so/Pantry-2ef97e9c2a3181979138c282576cd910?pvs=21),🗓️ Schedule:,,Not started
Check for expired items,,,0%,,Weekly,0,1,Yes,,🥫 Pantry (https://www.notion.so/Pantry-2ef97e9c2a3181979138c282576cd910?pvs=21),🗓️ Schedule:,,Not started
Deep clean all shelves,,,0%,,Monthly,0,1,Yes,,🥫 Pantry (https://www.notion.so/Pantry-2ef97e9c2a3181979138c282576cd910?pvs=21),🗓️ Schedule:,,Not started
Wipe down shelves,,,0%,,Weekly,0,1,Yes,,🥫 Pantry (https://www.notion.so/Pantry-2ef97e9c2a3181979138c282576cd910?pvs=21),🗓️ Schedule:,,Not started
Put away groceries and items,,,0%,,Daily,0,1,Yes,,🥫 Pantry (https://www.notion.so/Pantry-2ef97e9c2a3181979138c282576cd910?pvs=21),🗓️ Schedule:,,Not started
Sweep floor,,,0%,,Weekly,0,1,Yes,,🥫 Pantry (https://www.notion.so/Pantry-2ef97e9c2a3181979138c282576cd910?pvs=21),🗓️ Schedule:,,Not started
Wipe down walls and door,,,0%,,Monthly,0,1,Yes,,🥫 Pantry (https://www.notion.so/Pantry-2ef97e9c2a3181979138c282576cd910?pvs=21),🗓️ Schedule:,,Not started
Reorganize entire pantry,,,0%,,Monthly,0,1,Yes,,🥫 Pantry (https://www.notion.so/Pantry-2ef97e9c2a3181979138c282576cd910?pvs=21),🗓️ Schedule:,,Not started
Clean containers and jars,,,0%,,Monthly,0,1,Yes,,🥫 Pantry (https://www.notion.so/Pantry-2ef97e9c2a3181979138c282576cd910?pvs=21),🗓️ Schedule:,,Not started
Wipe up spills immediately,,,0%,,Daily,0,1,Yes,,🥫 Pantry (https://www.notion.so/Pantry-2ef97e9c2a3181979138c282576cd910?pvs=21),🗓️ Schedule:,,Not started
Sweep floor,,,0%,,Daily,0,1,Yes,,🍽️ Dining Room (https://www.notion.so/Dining-Room-2ef97e9c2a318192bdd0f0418b269200?pvs=21),🗓️ Schedule:,,Not started
Vacuum or mop floor,,,0%,,Weekly,0,1,Yes,,🍽️ Dining Room (https://www.notion.so/Dining-Room-2ef97e9c2a318192bdd0f0418b269200?pvs=21),🗓️ Schedule:,,Not started
Wipe down chair legs and bases,,,0%,,Weekly,0,1,Yes,,🍽️ Dining Room (https://www.notion.so/Dining-Room-2ef97e9c2a318192bdd0f0418b269200?pvs=21),🗓️ Schedule:,,Not started
Clean light fixture,,,0%,,Weekly,0,1,Yes,,🍽️ Dining Room (https://www.notion.so/Dining-Room-2ef97e9c2a318192bdd0f0418b269200?pvs=21),🗓️ Schedule:,,Not started
Wipe down walls and baseboards,,,0%,,Monthly,0,1,Yes,,🍽️ Dining Room (https://www.notion.so/Dining-Room-2ef97e9c2a318192bdd0f0418b269200?pvs=21),🗓️ Schedule:,,Not started
Clean windows,,,0%,,Monthly,0,1,Yes,,🍽️ Dining Room (https://www.notion.so/Dining-Room-2ef97e9c2a318192bdd0f0418b269200?pvs=21),🗓️ Schedule:,,Not started
Polish wood furniture,,,0%,,Monthly,0,1,Yes,,🍽️ Dining Room (https://www.notion.so/Dining-Room-2ef97e9c2a318192bdd0f0418b269200?pvs=21),🗓️ Schedule:,,Not started
"Dust table, chairs, and surfaces",,,0%,,Weekly,0,1,Yes,,🍽️ Dining Room (https://www.notion.so/Dining-Room-2ef97e9c2a318192bdd0f0418b269200?pvs=21),🗓️ Schedule:,,Not started
Push in chairs,,,0%,,Daily,0,1,Yes,,🍽️ Dining Room (https://www.notion.so/Dining-Room-2ef97e9c2a318192bdd0f0418b269200?pvs=21),🗓️ Schedule:,,Not started
Wipe down table after meals,,,0%,,Daily,0,1,Yes,,🍽️ Dining Room (https://www.notion.so/Dining-Room-2ef97e9c2a318192bdd0f0418b269200?pvs=21),🗓️ Schedule:,,Not started
Clean door and frame,,,0%,,Monthly,0,1,Yes,,🚪 Entry (https://www.notion.so/Entry-2ef97e9c2a3181f78171fb35aa12d167?pvs=21),🗓️ Schedule:,,Not started
Wipe down door handles,,,0%,,Daily,0,1,Yes,,🚪 Entry (https://www.notion.so/Entry-2ef97e9c2a3181f78171fb35aa12d167?pvs=21),🗓️ Schedule:,,Not started
Deep clean chandelier or light fixture,,,0%,,Monthly,0,1,Yes,,🍽️ Dining Room (https://www.notion.so/Dining-Room-2ef97e9c2a318192bdd0f0418b269200?pvs=21),🗓️ Schedule:,,Not started
Wipe down light switches,,,0%,,Weekly,0,1,Yes,,🚪 Entry (https://www.notion.so/Entry-2ef97e9c2a3181f78171fb35aa12d167?pvs=21),🗓️ Schedule:,,Not started
Organize shoes,,,0%,,Daily,0,1,Yes,,🚪 Entry (https://www.notion.so/Entry-2ef97e9c2a3181f78171fb35aa12d167?pvs=21),🗓️ Schedule:,,Not started
Clean mirror,,,0%,,Weekly,0,1,Yes,,🚪 Entry (https://www.notion.so/Entry-2ef97e9c2a3181f78171fb35aa12d167?pvs=21),🗓️ Schedule:,,Not started
Hang up coats and bags,,,0%,,Daily,0,1,Yes,,🚪 Entry (https://www.notion.so/Entry-2ef97e9c2a3181f78171fb35aa12d167?pvs=21),🗓️ Schedule:,,Not started
Sweep or vacuum floor,,,0%,,Daily,0,1,Yes,,🚪 Entry (https://www.notion.so/Entry-2ef97e9c2a3181f78171fb35aa12d167?pvs=21),🗓️ Schedule:,,Not started
Dust surfaces and decor,,,0%,,Weekly,0,1,Yes,,🚪 Entry (https://www.notion.so/Entry-2ef97e9c2a3181f78171fb35aa12d167?pvs=21),🗓️ Schedule:,,Not started
Mop floor,,,0%,,Weekly,0,1,Yes,,🚪 Entry (https://www.notion.so/Entry-2ef97e9c2a3181f78171fb35aa12d167?pvs=21),🗓️ Schedule:,,Not started
Clean baseboards,,,0%,,Monthly,0,1,Yes,,🚶 Halls (https://www.notion.so/Halls-2ef97e9c2a31812b92fed8399ea05356?pvs=21),🗓️ Schedule:,,Not started
Pick up clutter,,,0%,,Daily,0,1,Yes,,🚶 Halls (https://www.notion.so/Halls-2ef97e9c2a31812b92fed8399ea05356?pvs=21),🗓️ Schedule:,,Not started
Dust picture frames and decor,,,0%,,Weekly,0,1,Yes,,🚶 Halls (https://www.notion.so/Halls-2ef97e9c2a31812b92fed8399ea05356?pvs=21),🗓️ Schedule:,,Not started
Wipe down walls,,,0%,,Monthly,0,1,Yes,,🚶 Halls (https://www.notion.so/Halls-2ef97e9c2a31812b92fed8399ea05356?pvs=21),🗓️ Schedule:,,Not started
Organize closet,,,0%,,Monthly,0,1,Yes,,🚪 Entry (https://www.notion.so/Entry-2ef97e9c2a3181f78171fb35aa12d167?pvs=21),🗓️ Schedule:,,Not started
Wipe down light switches,,,0%,,Weekly,0,1,Yes,,🚶 Halls (https://www.notion.so/Halls-2ef97e9c2a31812b92fed8399ea05356?pvs=21),🗓️ Schedule:,,Not started
Clean light fixtures,,,0%,,Monthly,0,1,Yes,,🚶 Halls (https://www.notion.so/Halls-2ef97e9c2a31812b92fed8399ea05356?pvs=21),🗓️ Schedule:,,Not started
Vacuum or sweep high-traffic areas,,,0%,,Daily,0,1,Yes,,🚶 Halls (https://www.notion.so/Halls-2ef97e9c2a31812b92fed8399ea05356?pvs=21),🗓️ Schedule:,,Not started
Vacuum or mop entire hallway,,,0%,,Weekly,0,1,Yes,,🚶 Halls (https://www.notion.so/Halls-2ef97e9c2a31812b92fed8399ea05356?pvs=21),🗓️ Schedule:,,Not started
Wipe down baseboards,,,0%,,Monthly,0,1,Yes,,🚪 Entry (https://www.notion.so/Entry-2ef97e9c2a3181f78171fb35aa12d167?pvs=21),🗓️ Schedule:,,Not started
Organize recycling area,,,0%,,Monthly,0,1,Yes,,🗑️ Trash & Recycling (https://www.notion.so/Trash-Recycling-2ef97e9c2a3181249089f3915f94b75c?pvs=21),🗓️ Schedule:,,Not started
Take out recycling,,,0%,,Weekly,0,1,Yes,,🗑️ Trash & Recycling (https://www.notion.so/Trash-Recycling-2ef97e9c2a3181249089f3915f94b75c?pvs=21),🗓️ Schedule:,,Not started
Disinfect outdoor bins,,,0%,,Monthly,0,1,Yes,,🗑️ Trash & Recycling (https://www.notion.so/Trash-Recycling-2ef97e9c2a3181249089f3915f94b75c?pvs=21),🗓️ Schedule:,,Not started
Deep clean all trash cans,,,0%,,Monthly,0,1,Yes,,🗑️ Trash & Recycling (https://www.notion.so/Trash-Recycling-2ef97e9c2a3181249089f3915f94b75c?pvs=21),🗓️ Schedule:,,Not started
Take out bathroom trash,,,0%,,Daily,0,1,Yes,,🗑️ Trash & Recycling (https://www.notion.so/Trash-Recycling-2ef97e9c2a3181249089f3915f94b75c?pvs=21),🗓️ Schedule:,,Not started
Clean trash cans,,,0%,,Weekly,0,1,Yes,,🗑️ Trash & Recycling (https://www.notion.so/Trash-Recycling-2ef97e9c2a3181249089f3915f94b75c?pvs=21),🗓️ Schedule:,,Not started
Replace bin liners,,,0%,,Weekly,0,1,Yes,,🗑️ Trash & Recycling (https://www.notion.so/Trash-Recycling-2ef97e9c2a3181249089f3915f94b75c?pvs=21),🗓️ Schedule:,,Not started
Take bins to curb for pickup,,,0%,,Weekly,0,1,Yes,,🗑️ Trash & Recycling (https://www.notion.so/Trash-Recycling-2ef97e9c2a3181249089f3915f94b75c?pvs=21),🗓️ Schedule:,,Not started
Dust ceiling corners for cobwebs,,,0%,,Monthly,0,1,Yes,,🚶 Halls (https://www.notion.so/Halls-2ef97e9c2a31812b92fed8399ea05356?pvs=21),🗓️ Schedule:,,Not started
Take out kitchen trash,,,0%,,Daily,0,1,Yes,,🗑️ Trash & Recycling (https://www.notion.so/Trash-Recycling-2ef97e9c2a3181249089f3915f94b75c?pvs=21),🗓️ Schedule:,,Not started
Clean grout,,,0%,,Monthly,0,1,Yes,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,Not started
Clean toilet bowl,,,0%,,Daily,0,1,Yes,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,Not started
Wipe down all surfaces,,,0%,,Weekly,0,1,Yes,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,Not started
Wipe down sink and counter,,,0%,,Daily,0,1,Yes,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,Not started
Disinfect door handles and light switches,,,0%,,Weekly,0,1,Yes,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,Not started
Hang fresh hand towel,,,0%,,Daily,0,1,Yes,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,Not started
Empty trash,,,0%,,Daily,0,1,Yes,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,Not started
Clean mirror,,,0%,,Weekly,0,1,Yes,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,Not started
Scrub toilet thoroughly,,,0%,,Weekly,0,1,Yes,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,Not started
Mop floor,,,0%,,Weekly,0,1,Yes,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,Not started
Wipe down walls,,,0%,,Monthly,0,1,Yes,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,Not started
Wipe down surfaces,,,0%,,Daily,0,1,Yes,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,Not started
Organize under sink,,,0%,,Monthly,0,1,Yes,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,Not started
Pick up toys and clutter,,,0%,,Daily,0,1,Yes,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,Not started
Dust all surfaces,,,0%,,Weekly,0,1,Yes,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,Not started
Clean baseboards,,,0%,,Monthly,0,1,Yes,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,Not started
Clean light fixture,,,0%,,Monthly,0,1,Yes,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,Not started
Vacuum entire room,,,0%,,Weekly,0,1,Yes,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,Not started
Fluff cushions,,,0%,,Daily,0,1,Yes,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,Not started
Vacuum high-traffic areas,,,0%,,Daily,0,1,Yes,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,Not started
Clean light fixtures and ceiling fan,,,0%,,Monthly,0,1,Yes,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,Not started
Organize storage areas,,,0%,,Monthly,0,1,Yes,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,Not started
Organize toys and games,,,0%,,Weekly,0,1,Yes,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,Not started
Clean TV screen,,,0%,,Weekly,0,1,Yes,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,Not started
Wipe down walls and doors,,,0%,,Monthly,0,1,Yes,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,Not started
Deep clean carpets or mop floors,,,0%,,Monthly,0,1,Yes,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,Not started
Vacuum upholstery,,,0%,,Monthly,0,1,Yes,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,Not started
Wipe down baseboards,,,0%,,Weekly,0,1,Yes,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,Not started
,,,0%,,,0,1,No,,,🗓️ Schedule:,,Not started
New Chore,,,0%,"January 21, 2026",,0,1,Yes,,,"🗓️ Schedule: January 21, 2026",,Not started
New Chore,,,0%,"January 19, 2026",,0,1,Yes,,,"🗓️ Schedule: January 19, 2026",,Not started
New Chore,,,0%,"January 27, 2026",,0,1,Yes,,,"🗓️ Schedule: January 27, 2026",,Not started
"Bedroom (Make bed, put away clothes, clear nightstands)",Jeremiah,,0%,"February 3, 2026",,0,1,No,,,"🗓️ Schedule: February 3, 2026",,Not started
Kitchen - Herschel,Herschel,,0%,"February 3, 2026",,0,1,No,,,"🗓️ Schedule: February 3, 2026",,Not started
"Bedroom (Make bed, put away clothes, clear nightstands)",Nox,,0%,"February 3, 2026",,0,1,No,,,"🗓️ Schedule: February 3, 2026",,Not started
Trash & Recycling,Jeremiah,,0%,"February 3, 2026",,0,1,No,,,"🗓️ Schedule: February 3, 2026",,Not started
Take out Trash - Jeremiah,Jeremiah,,0%,"February 3, 2026",,0,1,No,,,"🗓️ Schedule: February 3, 2026",,Not started
Kitchen,Nox,,0%,"February 3, 2026",,0,1,No,,,"🗓️ Schedule: February 3, 2026",,Not started
Main Bathroom - Nox,Nox,,0%,"February 3, 2026",,0,1,No,,,"🗓️ Schedule: February 3, 2026",,Not started
Family Room,Lorraine,,0%,"February 3, 2026",,0,1,No,,,"🗓️ Schedule: February 3, 2026",,Not started
